structure_id,potential,cognate_rank_pct
1ao7,TCRen 2026,15.6
1bd2,TCRen 2026,16.3
1d9k,TCRen 2026,22.900000000000002
1fo0,TCRen 2026,3.5000000000000004
1fyt,TCRen 2026,12.1
1g6r,TCRen 2026,1.0
1kj2,TCRen 2026,35.5
1lp9,TCRen 2026,17.1
1mi5,TCRen 2026,2.4
1nam,TCRen 2026,5.7
1oga,TCRen 2026,0.2
1u3h,TCRen 2026,13.4
1ymm,TCRen 2026,9.0
1zgl,TCRen 2026,4.9
2ak4,TCRen 2026,0.2
2bnq,TCRen 2026,1.3
2e7l,TCRen 2026,16.0
2esv,TCRen 2026,20.599999999999998
2iam,TCRen 2026,14.6
2nx5,TCRen 2026,0.8999999999999999
2pxy,TCRen 2026,2.7
2wbj,TCRen 2026,54.6
2ypl,TCRen 2026,17.4
3c5z,TCRen 2026,5.0
3c60,TCRen 2026,0.0
3c6l,TCRen 2026,0.0
3dxa,TCRen 2026,2.0
3ffc,TCRen 2026,11.3
3gsn,TCRen 2026,3.6999999999999997
3hg1,TCRen 2026,0.0
3kpr,TCRen 2026,5.0
3mbe,TCRen 2026,7.7
3mv7,TCRen 2026,0.0
3nfj,TCRen 2026,37.8
3o4l,TCRen 2026,42.8
3o6f,TCRen 2026,4.0
3pl6,TCRen 2026,5.3
3pqy,TCRen 2026,32.5
3pwp,TCRen 2026,2.3
3qdg,TCRen 2026,1.7999999999999998
3qdm,TCRen 2026,2.6
3qib,TCRen 2026,0.6
3qiu,TCRen 2026,0.8
3rdt,TCRen 2026,0.1
3rgv,TCRen 2026,3.0
3sjv,TCRen 2026,37.1
3tf7,TCRen 2026,8.6
3tfk,TCRen 2026,11.700000000000001
3tjh,TCRen 2026,1.3
3tpu,TCRen 2026,2.4
3uts,TCRen 2026,1.7000000000000002
3vxm,TCRen 2026,42.6
3vxr,TCRen 2026,6.2
3vxu,TCRen 2026,19.0
4e41,TCRen 2026,0.7000000000000001
4eup,TCRen 2026,0.8999999999999999
4ftv,TCRen 2026,10.7
4g8g,TCRen 2026,1.3
4gg6,TCRen 2026,3.5999999999999996
4grl,TCRen 2026,2.7
4h1l,TCRen 2026,1.7000000000000002
4jfd,TCRen 2026,0.3
4jry,TCRen 2026,9.0
4may,TCRen 2026,11.5
4mji,TCRen 2026,26.200000000000003
4mnq,TCRen 2026,15.2
4ms8,TCRen 2026,9.4
4n5e,TCRen 2026,45.800000000000004
4nhu,TCRen 2026,0.2
4ozf,TCRen 2026,2.7
4ozg,TCRen 2026,3.0
4ozh,TCRen 2026,6.3
4ozi,TCRen 2026,69.89999999999999
4p2o,TCRen 2026,3.0
4p2q,TCRen 2026,13.4
4p2r,TCRen 2026,15.6
4p4k,TCRen 2026,3.3000000000000003
4p5t,TCRen 2026,0.0
4qrp,TCRen 2026,0.1
4y19,TCRen 2026,10.5
4y1a,TCRen 2026,11.600000000000001
4z7u,TCRen 2026,4.8
4z7v,TCRen 2026,8.0
4z7w,TCRen 2026,1.6
4zez,TCRen 2026,44.5
5brz,TCRen 2026,15.5
5c07,TCRen 2026,2.8000000000000003
5c09,TCRen 2026,2.0
5d2l,TCRen 2026,0.2
5d2n,TCRen 2026,21.3
5e6i,TCRen 2026,0.4
5e9d,TCRen 2026,18.5
5eu6,TCRen 2026,6.9
5euo,TCRen 2026,0.3
5isz,TCRen 2026,0.3
5ivx,TCRen 2026,4.7
5ks9,TCRen 2026,3.8
5ksa,TCRen 2026,9.9
5ksb,TCRen 2026,4.3999999999999995
5m00,TCRen 2026,28.799999999999997
5nht,TCRen 2026,0.0
5nme,TCRen 2026,20.0
5sws,TCRen 2026,0.0
5swz,TCRen 2026,0.0
5tez,TCRen 2026,5.2
5w1v,TCRen 2026,7.5
5wkf,TCRen 2026,2.1999999999999997
5wlg,TCRen 2026,0.1
5xot,TCRen 2026,5.800000000000001
6amu,TCRen 2026,66.5
6avf,TCRen 2026,21.5
6avg,TCRen 2026,5.6000000000000005
6bga,TCRen 2026,2.5
6bj2,TCRen 2026,4.7
6cql,TCRen 2026,33.900000000000006
6dfs,TCRen 2026,15.7
6dfw,TCRen 2026,10.6
6dfx,TCRen 2026,0.1
6l9l,TCRen 2026,11.899999999999999
6mkd,TCRen 2026,0.7000000000000001
6mtm,TCRen 2026,34.699999999999996
6p64,TCRen 2026,3.0
6px6,TCRen 2026,12.6
6py2,TCRen 2026,86.8
6r0e,TCRen 2026,0.8999999999999999
6r2l,TCRen 2026,2.3
6rp9,TCRen 2026,4.8
6rpa,TCRen 2026,28.199999999999996
6rpb,TCRen 2026,5.4
6rsy,TCRen 2026,1.6
6tro,TCRen 2026,4.1000000000000005
6u3n,TCRen 2026,24.9
6ulr,TCRen 2026,2.3
6uon,TCRen 2026,16.1
6v0y,TCRen 2026,0.1
6v13,TCRen 2026,0.4
6vm7,TCRen 2026,20.5
6vma,TCRen 2026,39.800000000000004
6vmx,TCRen 2026,0.2
6vqo,TCRen 2026,0.8999999999999999
6vrm,TCRen 2026,15.6
6vrn,TCRen 2026,60.5
6xc9,TCRen 2026,0.6
6xco,TCRen 2026,4.7
6xcp,TCRen 2026,0.8999999999999999
6zkw,TCRen 2026,74.4
7byd,TCRen 2026,43.1
7dzm,TCRen 2026,8.3
7jwj,TCRen 2026,35.6
7n1e,TCRen 2026,0.0
7n1f,TCRen 2026,7.000000000000001
7n2n,TCRen 2026,1.0
7n2p,TCRen 2026,0.6
7n2r,TCRen 2026,5.6000000000000005
7n2s,TCRen 2026,2.1
7n6e,TCRen 2026,39.2
7na5,TCRen 2026,9.700000000000001
7ndq,TCRen 2026,5.8999999999999995
7nme,TCRen 2026,1.2
7ow5,TCRen 2026,7.3
7pb2,TCRen 2026,3.1
7pbc,TCRen 2026,4.0
7pbe,TCRen 2026,3.3000000000000003
7phr,TCRen 2026,29.299999999999997
7q99,TCRen 2026,13.200000000000001
7q9b,TCRen 2026,0.8
7r80,TCRen 2026,3.9
7rdv,TCRen 2026,0.8999999999999999
7rk7,TCRen 2026,8.7
7rm4,TCRen 2026,17.299999999999997
7sg0,TCRen 2026,56.10000000000001
7sg1,TCRen 2026,1.7000000000000002
7t2b,TCRen 2026,6.2
7t2c,TCRen 2026,0.8999999999999999
7t2d,TCRen 2026,12.8
7z50,TCRen 2026,1.2
8cx4,TCRen 2026,0.4
8d5q,TCRen 2026,2.5
8dnt,TCRen 2026,27.0
8en8,TCRen 2026,1.4000000000000001
8es8,TCRen 2026,7.7
8es9,TCRen 2026,13.8
8f5a,TCRen 2026,0.0
8gom,TCRen 2026,9.2
8gvb,TCRen 2026,8.5
8i5c,TCRen 2026,42.199999999999996
8i5d,TCRen 2026,2.5
8qfy,TCRen 2026,71.3
8rj5,TCRen 2026,0.7000000000000001
8rlt,TCRen 2026,28.1
8rro,TCRen 2026,14.2
8rym,TCRen 2026,14.2
8ryp,TCRen 2026,19.7
8shi,TCRen 2026,4.8
8trl,TCRen 2026,9.6
8trq,TCRen 2026,15.5
8trr,TCRen 2026,41.9
8v4z,TCRen 2026,8.3
8vd0,TCRen 2026,5.3
8vq8,TCRen 2026,38.5
8wte,TCRen 2026,26.0
8ye4,TCRen 2026,0.0
8yiv,TCRen 2026,24.2
9aud,TCRen 2026,7.3
9d95,TCRen 2026,0.7000000000000001
9gv6,TCRen 2026,0.0
9gv7,TCRen 2026,8.1
9hlj,TCRen 2026,0.7000000000000001
9j4t,TCRen 2026,10.5
9j4u,TCRen 2026,0.2
9k2i,TCRen 2026,5.5
9k2r,TCRen 2026,17.599999999999998
9nig,TCRen 2026,63.9
9nmu,TCRen 2026,1.5
9pbg,TCRen 2026,0.4
9ru5,TCRen 2026,1.9
9rxm,TCRen 2026,43.9
9wbd,TCRen 2026,0.3
